move 1,move 2,move 3,move 4,move 5,move 6,move 7,move 8,move 9,move 10,move 11,move 12
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Be3 Bb4,Bd3 Bxc3+,bxc3 Ng4,Bf4 g5,Bd2 h6,O-O f5,Qe1 O-O
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 a6,Be3 c6,O-O-O Bd7,Bc4 e6,Nh3 b5,Bb3 a5,a3 a4,Ba2 Na6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bh5,g4 Bg6,Bc4 e6,Nh4 Nc6,Nxg6 hxg6,Be3 Nxg4,Qxg4 Nb4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,h3 Qxd4,Be3 Qe5,O-O-O e6,Bd3 Be7,h4 Nbd7,h5 h6,Nge2 Nc5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Be3 Nxd4,Qf2 c5,O-O-O e5,Nf3 Bd6,Bc4 O-O,h4 Ng4,Qg1 Nxf3
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bh5,g4 Bg6,Ne5 e6,Qf3 c6,g5 Nd5,Bd3 Qc7,Ne4 Bd6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 c6,Be3 e6,Bd3 Bb4,O-O O-O,Ne4 Bc3,bxc3 Nxe4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qf2 e6,Be3 c6,Be2 Bxe2,Ngxe2 Bd6,O-O Nbd7,Ng3 O-O,Nge4 Nxe4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bh5,g4 Bg6,Ne5 a6,Qf3 c6,g5 Nd5,Bd3 Qd6,Bxg6 fxg6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Be3 Nxd4,Bxd4 Qxd4,Nge2 Qd6,Rd1 Qb4,Nc1 Qxb2,Nb3 Bg4,Bb5+ Nd7
