move 1,move 2,move 3,move 4,move 5,move 6,move 7,move 8,move 9,move 10,move 11,move 12
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Be3 Bg4,Qf2 e6,Be2 Bb4,Bxg4 Bxc3+,bxc3 Nxg4,Qd2 Qh4+,g3 Qf6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 c6,Qf2 e6,Bd3 Bb4,O-O Nbd7,Ne4 Be7,Bg5 Qc7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 h6,O-O-O Be7,Bd3 O-O,d5 exd5,Nxd5 Nxd5,Be4 c6,c4 Bg5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bg5 Be7,Qd2 h6,Bf4 Nbd7,Bd3 Nb6,O-O g5,Be5 Rg8,a3 Bd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bh5,g4 Bg6,Ne5 Nbd7,Qf3 c6,Bc4 e6,Nxg6 hxg6,O-O Qe7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 g6,Be3 Bg7,O-O-O O-O,h4 c6,h5 gxh5,Qg3 Bg4,Rd2 Kh8,Bd3 Rg8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 h6,Be3 Bf5,Ne5 Nbd7,g4 Be4,Nxe4 Nxe4,Qf3 Nef6,Qxb7 Nxe5,dxe5 Nxg4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Nc6,a3 Be7,O-O-O Bd7,Bd3 h6,Nh3 a6,Nf2 O-O,h3 Nh7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Nb5 Rc8,Nxa7 Rb8,Qa6 Nb6,Nc6 Qd6,Nxb8 Qxd4,Bb5+ Nfd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Be2 e6,O-O Bd6,Bg5 h6,Bxf6 Qxf6,Ne5 Bxe2,Qxe2 Qh4,g3 Qxd4+
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bg5 Be7,O-O-O Nc6,Bxf6 Bxf6,Bd3 O-O,Nge2 h6,Ne4 Qe7,Nxf6+ Qxf6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 c6,h3 Bd7,O-O-O Be7,Bd3 Nd5,Nxd5 exd5,Ne2 Be6,Nf4 Qd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 c6,Qf2 e6,Bd3 Bb4,O-O O-O,Bg5 Be7,Qh4 h6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Be3 e6,O-O-O Bd6,Bb5 Bd7,Nge2 O-O,Bg5 e5,Bxf6 gxf6,Qg3+ Kh8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,h3 Nxd4,Qe3 Nc6,Bb5 Bd7,Nf3 e6,Ne5 a6,Nxd7 Qxd7,Bxc6 Qxc6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,Be3 Bg4,Qg3 e6,h3 Bd6,Qf2 Bf5,O-O-O O-O,Bd3 Bxd3,Rxd3 b5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 c6,O-O-O Be7,Kb1 Nbd7,Bd3 Nd5,Nxd5 cxd5,Qh3 f5,Nf3 O-O
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Bb4,Ne2 Nc6,a3 Be7,O-O-O O-O,g4 a6,g5 Nd7,h4 b5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bc4 Be7,O-O O-O,Qe1 c6,Kh1 b5,Bd3 b4,Ne4 Nxe4,Bxe4 f5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bh5,g4 Bg6,Ne5 Nbd7,Nxg6 hxg6,g5 Nh5,Qf3 Qc8,Bc4 e6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Nge2 e5,dxe5 Nxe5,Qb5+ Nfd7,Bf4 Bd6,O-O-O O-O,h3 Rb8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Be3 Nxd4,Qf2 e5,O-O-O c5,Nb1 Qa5,a3 b5,Bd2 Qb6,Nc3 Bd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 h6,Be3 e6,O-O-O c6,Bd3 Nbd7,Nge2 b5,Rhf1 Qc7,Ne4 Nxe4,Bxe4 Nf6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bg5 Be7,O-O-O O-O,Bd3 h6,Bxf6 Bxf6,Nge2 Nc6,Qe4 Bg5+,Kb1 f5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bc4 Be7,O-O O-O,Ne5 Nbd7,Kh1 c5,Ng4 cxd4,Qxd4 a6,Bg5 b5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bh5,g4 Bg6,Ne5 Nbd7,Nxg6 hxg6,Qf3 c6,Bd3 e6,g5 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bf5,Bc4 e6,O-O Bd6,Qe1 O-O,Nh4 Bxc2,Bg5 Nbd7,Rc1 Bg6,Nxg6 hxg6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 g6,h3 Bg7,Bc4 e6,O-O Nd5,Bg5 Qd7,Ne4 O-O,Bxd5 Qxd5,Nf6+ Bxf6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Nf3 e6,Bb5 Bb4,Bg5 Rb8,Bxd7+ Qxd7,Qxb8+ Ke7,Qxb4+ Ke8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bc4 Bb4,O-O Nc6,Be3 Qe7,a3 Bd6,Bd3 Bd7,b4 O-O,Qe1 Rae8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qh4+,g3 Qh5,g4 Qxg4,Qf2 e5,Bh3 Qh5,Bxc8 Bb4,Ne2 Nbd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Qxd4,Qxa8 Nd7,Nb5 Qd1+,Kf2 Qxc2+,Be2 Qc5+,Be3 Qf5+,Nf3 Kd8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 g6,Bg5 Bg7,O-O-O O-O,h4 c6,Bxf6 exf6,h5 Bh6+,Kb1 g5,Bd3 Kg7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bh5,g4 Bg6,Ne5 e6,Qf3 c6,Nxg6 hxg6,Be3 Nd5,Bf2 Nd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Bg5 Nxd4,Qf2 Ne4,Qh4 Nxg5,O-O-O Nde6,Rxd8+ Kxd8,Qf2 g6,Bc4 Bh6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Nf3 Bxf3,gxf3 e5,Bb5 exd4,Ne4 Rb8,Nxf6+ gxf6,Bxd7+ Kxd7
