move 1,move 2,move 3,move 4,move 5,move 6,move 7,move 8,move 9,move 10,move 11,move 12
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Bb4,Ne2 Nc6,O-O-O e5,dxe5 Nxe5,Qg3 Neg4,Rxd8+ Kxd8,Bf4 Bd6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 Nc6,Bb5 Qxd4,Bxc6+ Nd7,Bxd7+ Qxd7,Qxb7 Rd8,O-O e6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nc6,Be3 e6,Bd3 Bb4,O-O Bxc3,bxc3 O-O,Ne5 Nxe5,dxe5 Nd5,Bd2 c6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Be3 Be7,Bd3 O-O,O-O c6,Ne5 Nbd7,Qf3 Nxe5,dxe5 Nd7,Qh3 g6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bh5,g4 Bg6,Ne5 Nbd7,Qf3 c6,g5 Nd5,Nxd5 cxd5,Qxd5 Nb6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 c6,Be3 e6,Bd3 Bb4,O-O Bxc3,bxc3 O-O,Bg5 Nbd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Be3 Nc6,Bd3 Bb4,O-O Bxc3,bxc3 O-O,Ne5 Nxe5,dxe5 Nd5,Bd2 Bd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nc6,Be3 Bg4,h3 Bh5,g4 Bg6,Ne5 Nxe5,dxe5 Qxd1+,Rxd1 Ne4,Nxe4 Bxe4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bg5 Be7,O-O-O O-O,h4 Nc6,Kb1 h6,Bc4 Nd7,Ne4 Bxg5,hxg5 hxg5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bg5 Be7,O-O-O O-O,Kb1 Nc6,Bc4 Na5,Bd3 Nd5,Bxe7 Nxe7,Ne4 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,h3 Bd6,Bf4 O-O,Ne4 Nc6,O-O-O Qe7,g4 Nd5,Bxd6 cxd6,Qg3 a5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Be7,O-O-O O-O,Bd3 c6,h4 Nd5,Nxd5 cxd5,h5 f5,h6 g6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Nge2 Bb4,Bf4 Nd5,a3 Nxc3,Nxc3 Bd6,Bxd6 Qxd6,O-O-O O-O,Bd3 Nc6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nc6,Be3 Bg4,h3 Bh5,g3 e6,g4 Bg6,Ne5 Nxe5,dxe5 Nd5,Bd2 Qh4+
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qg3 e6,Be3 Bd6,Qf2 h6,Nf3 Bxf3,gxf3 Nc6,O-O-O a6,Rg1 Rg8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,Bf4 Bg4,Qf2 e6,Nf3 Bb4,h3 Bxc3+,bxc3 Qa5,Bd2 Bf5,Bd3 Be4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qe5,O-O-O Nc6,Nb5 Bg4,Bf4 Bxf3,Bxe5 Bxd1,Nxc7+ Kd7,Nxa8 Nxe5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bf4 c6,O-O-O Bd6,Bg5 Be7,Bd3 h6,Bh4 Nbd7,g4 g5,Bg3 Nb6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bh5,g4 Bg6,Ne5 e6,Nxg6 hxg6,Be3 Bb4,Qf3 Nc6,Bb5 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Be2 Bb4,O-O Bxc3,bxc3 O-O,Bd3 b6,Ne5 Bb7,Qe1 Nbd7,Qg3 Nxe5
