move 1,move 2,move 3,move 4,move 5,move 6,move 7,move 8,move 9,move 10,move 11,move 12
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,Be3 Bg4,Qf4 e6,Nf3 Bd6,Qg5 O-O,Ne5 Bh5,g4 Bg6,Nxg6 fxg6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bh5,g4 Bg6,Ne5 Be4,Nxe4 Nxe4,Qf3 Ng5,Qf4 f6,Bc4 e6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bg5 Be7,Bd3 Nbd7,O-O h6,Bd2 b6,Qc1 Bb7,Rf2 c5,dxc5 Bxc5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qg4,Be2 Qxf3,Bxf3 e6,Nb5 Bb4+,c3 Ba5,b4 Bb6,Bxb6 axb6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bf4 c6,O-O-O Bb4,Bc4 Nbd7,Kb1 a5,Ne4 b5,Bd3 Qb6,c3 Be7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 c6,Bc4 Bg4,Bxf7+ Kxf7,Ne5+ Ke8,Nxg4 Nxg4,Qxg4 g6,O-O Bg7,d5 cxd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Qd7,Qxa8 Qe6+,Be2 Bxe2,Qxb8+ Kd7,Ngxe2 Ng4,O-O h5,Bf4 Qc6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qg3 Qxd4,Be3 Qb4,Rd1 Bxd1,Kxd1 Qxb2,Nb5 Na6,Qf3 O-O,Ke2 Qxb5+
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bg5 Be7,O-O-O Nbd7,Bd3 O-O,Nge2 h6,h4 a6,g4 Rb8,Bxh6 gxh6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bf4 Be7,O-O-O O-O,Nh3 h6,g4 Nc6,Qe3 Nxg4,Qd2 Nb4,Bxh6 Nxh6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Bb5 e6,Bg5 Be7,h3 Bf5,O-O-O O-O,g4 Bg6,h4 Nxg4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qe5,O-O-O Bg4,Qxb7 Qxe3+,Kb1 Bxd1,Nxd1 Qe1,Ne2 Qxd1+,Nc1 g6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qd8,Bd3 e6,O-O-O Bb4,Bb5+ Nbd7,Bxd7+ Bxd7,Nb5 b6,a3 a6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Be3 Bg4,Qf2 e6,h3 Bh5,g4 Bg6,O-O-O Bb4,Nge2 O-O,a3 Ba5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bg5 Be7,Bd3 Nc6,O-O Nxd4,Nxd4 Qxd4+,Kh1 Qc5,Bh4 Qb4,Be1 Qxb2
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,Be3 e6,O-O-O Bd6,Nge2 O-O,h4 Nd5,Bd2 Nd7,g4 Nxc3,Bxc3 f6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qe5,h3 e6,O-O-O Bb4,Nb5 O-O,Bf4 Qc5,Nxc7 e5,Nxa8 exf4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bg5 Be7,Bd3 Nc6,Ne4 Bd7,Nxf6+ Bxf6,Bxf6 Qxf6,O-O Qh6,Ne5 Nxd4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qg4,Qf2 e6,Nf3 Bb4,Be2 Bxc3+,bxc3 Qa4,O-O O-O,Bd3 b6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Be3 e6,a3 Bd6,h3 Bh5,g4 Bg6,Qd2 Nbd7,O-O-O O-O,h4 h6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 c6,Be3 e6,Bd3 Nd5,O-O f6,Qh5+ Kd7,Nxd5 cxd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Bb5 Bd7,Be3 e5,O-O-O exd4,Bxd4 Bg4,Bxc6+ bxc6,Qxc6+ Nd7,Nf3 Bd6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Bb5 a6,Bxc6+ bxc6,Qxc6+ Bd7,Qf3 e6,Nge2 Bd6,Bg5 O-O,O-O Be7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qd8,Bd3 Nc6,O-O-O e6,Nge2 Bd6,Bg5 Ne5,Qf2 Nxd3+,Rxd3 h6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,Be3 e6,O-O-O Be7,Bd3 O-O,Nge2 Nbd7,Bg5 h6,h4 e5,g4 exd4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,h3 e6,Be3 g6,Bd3 Bg7,O-O-O Nbd7,Nge2 Nd5,Nxd5 cxd5,Rhf1 a6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Bb4,O-O Bxc3,bxc3 O-O,Bg5 h6,Bh4 Nbd7,Qe1 Qe8,Ne5 b6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qd6,Bf4 Qc6,Bb5 Bd7,Bxc6 Bxc6,d5 Bd7,O-O-O Bf5,h3 Na6,d6 cxd6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,h3 Bd7,Be3 e6,O-O-O Bb4,Nge2 O-O,a3 Be7,d5 exd5,Nxd5 a5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bg5 Be7,O-O-O c6,Bd3 O-O,h4 h6,g4 Nbd7,Bxf6 Bxf6,g5 hxg5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,h3 Qxd4,Be3 Qb4,O-O-O Nd5,Nxd5 cxd5,Qxd5 Qd6,Qb5+ Bd7,Qxb7 Qe5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Be3 Qb8,Qxb8+ Rxb8,Be2 Bxe2,Ngxe2 Rxb2,Kd2 e6,Rhb1 Rxb1
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Bb4,Ne2 O-O,h3 h6,O-O-O a5,a3 Bd6,Nf4 Qe7,Nb1 c6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Be3 Bg4,Qg3 e6,Nf3 Bd6,Bf4 Bxf3,gxf3 Nxd4,O-O-O Nc6,Bxd6 cxd6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qe3 Nc6,Nge2 e6,Bd2 Bd6,O-O-O Nb4,a3 Nbd5,Nxd5 Nxd5,Qe4 Bf5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bf4 Bd6,O-O-O O-O,Kb1 Nbd7,Bxd6 cxd6,Bc4 Nb6,Bb3 d5,Nge2 Bd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 c6,Be3 Nbd7,O-O-O Nb6,d5 cxd5,Bb5+ Nfd7,Bxb6 axb6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bf4 a6,h3 Nc6,O-O-O Bd6,Be3 e5,g4 e4,Nxe4 Be6,Nxf6+ gxf6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,h3 g6,Bf4 Bg7,O-O-O Bf5,Kb1 O-O,Bc4 Nbd7,Nge2 Nb6,Bb3 Nbd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Be3 e5,h3 Bxf3,Qxf3 exd4,Qxb7 dxe3,Bd3 Ne4,O-O-O Nxc3,Bb5+ Nxb5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Nb5 Rc8,Bf4 e5,dxe5 Nh5,e6 Nxf4,exd7+ Qxd7,Qe4+ Qe6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 Nc6,Bb5 Qxd4,Bxc6+ bxc6,Qxc6+ Kd8,Qxa8+ Kd7,Qf3 e5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bf4 Be7,O-O-O Nc6,Nb5 Bd6,Bxd6 cxd6,d5 Nxd5,Bc4 Nce7,Qg3 O-O
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nc6,Be3 e6,Bd3 Bb4,O-O Bxc3,bxc3 O-O,Bg5 h6,Bh4 Re8,Qe2 e5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e5,Be3 exd4,Bxd4 Qxd4,Nb5 Qb4+,c3 Qe7+,Be2 a6,Nd4 Bg4,Qd3 Qe5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Bb4,Ne2 O-O,O-O-O a5,a3 Bxc3,Nxc3 c6,h4 b5,g4 b4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nc6,Bg5 Nd5,Nxd5 Qxd5,Bd3 Bg4,Be3 O-O,O-O Nb4,c4 Qh5,Be4 e6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bg5 Be7,Bd3 O-O,O-O c5,dxc5 Bxc5+,Kh1 Nc6,Qe1 Nb4,Be4 Be7
