move 1,move 2,move 3,move 4,move 5,move 6,move 7,move 8,move 9,move 10,move 11,move 12
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Bb4,Bf2 O-O,O-O-O Bxc3,Qxc3 Nd5,Qg3 Qd6,Qg5 Qf4+,Qxf4 Nxf4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Bb4,Ne2 O-O,O-O-O Bxc3,Nxc3 Nd5,Nxd5 exd5,Bd3 Qd6,Bf4 Qc6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Bb4,Bd3 Bxc3+,bxc3 Nc6,Ne2 h6,O-O Qd5,Qg3 Nh5,Qxc7 O-O
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Nb5 e6,Nxc7+ Ke7,Nxa8 Qa5+,Bd2 Qf5,Bb4+ Kd8,Be2 Bxb4+
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,Bg5 Na6,O-O-O Bg4,Qf4 Bxd1,Bxf6 exf6,Bxa6 bxa6,Qe4+ Qe7,Qxc6+ Qd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,Be3 Bg4,Qg3 e6,Be2 Bxe2,Ngxe2 Bb4,O-O O-O,Bg5 Be7,Bh6 Nh5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Nc6,O-O-O Be7,d5 exd5,h3 d4,Bg5 Qd6,Nb5 Qe5,Bf4 Qc5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qe5,O-O-O Nc6,Bf4 Qe6,Nb5 Nd5,Bxc7 Bd7,Bc4 g6,Bxd5 Bh6+
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Nb5 Rc8,Bf4 e5,dxe5 c6,exf6 cxb5,fxg7 Bxg7,Be2 Bxe2
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Bd3 h6,O-O e6,Be3 Bb4,Qe1 Bxf3,Rxf3 O-O,h3 Nc6,Qf2 Qe7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 h6,Be3 c6,Bc4 e6,h3 Bd6,O-O-O Nbd7,g4 Nf8,g5 hxg5,Bxg5 Be7
