move 1,move 2,move 3,move 4,move 5,move 6,move 7,move 8,move 9,move 10,move 11,move 12
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 c6,Bc4 e6,Be3 Be7,O-O O-O,Rf2 Nbd7,Raf1 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Bg4,Bxd4 Bxf3,Nxf3 Nc6,Nb5 O-O,Nxa7+ Nxa7,Bxa7 Ne4,Bd3
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,h3 Nc6,Be3 Bb4,Bd3 Bxc3+,bxc3 b6,Qe2 Bb7,h4 h6,O-O Ng4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Qxd4,Bd2 e6,Nge2 Qe5,O-O-O Bb4,Qxb4 Nc6,Qb7 O-O,Qxc6 Rab8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,d5 Nd4,Qd3 Nxd5,Qxd4 e6,Nf3 Bb4,Bd2 Bxc3,Bxc3 O-O,Qxg7#
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 g6,Bf4 Bg7,h3 O-O,O-O-O c6,Bc4 b5,Bb3 Bb7,Nxb5 Qd7,Nc7 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 Nc6,Bb5 e6,Bxc6+ bxc6,Qxc6+ Nd7,Bf4 Rc8,O-O Bb4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bg5 Be7,Qd2 a6,Bd3 Nc6,O-O-O O-O,Qf4 b5,Qh4 g6,Rhf1 Kh8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Nb5 Rc8,Bf4 Be6,Bxc7 Bd5,Qxa7 Ra8,Bxd8 Rxa7,Nxa7 Kxd8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Bd3 Nxd4,Qf4 Nh5,Qe4 Bf5,Qe3 Nxc2+,Bxc2 Bxc2,Nf3 Qd3,Qg5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 c6,O-O-O Be7,Bd3 O-O,h4 h6,g4 Nd5,Bxh6 Bxh4,Qe4 Bg5+
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bg5 Be7,Qd2 c6,Bd3 Nbd7,O-O a5,Rae1 O-O,Qf4 Nd5,Qh4 g6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Bb5 a6,Bxc6+ bxc6,Qxc6+ Bd7,Qf3 Bg4,Qf4 h6,h3 g5,Qf2 Bh5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bg5 Be7,O-O-O Bd7,h3 Nc6,d5 Nxd5,Bxe7 Ndxe7,Bd3 O-O,Nge2 Qe8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Be2 Bb4,O-O Bxc3,bxc3 O-O,Ng5 Nd5,Bd3 g6,Ba3 Ne3,Qf3 Nxf1
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 c6,Be3 e6,Bd3 Nbd7,O-O Bd6,g4 h6,Rf2 Qe7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bg5 Be7,O-O-O Nc6,d5 exd5,Bxf6 Bxf6,Nxd5 Bd7,Bb5 O-O,Nxf6+ Qxf6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 h6,Bc4 Bg4,Bxf7+ Kxf7,Ne5+ Kg8,Nxg4 Nxg4,Qxg4 Nc6,d5 Ne5,Qe6+ Nf7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nc6,Be3 Bg4,Bb5 Bxf3,Qxf3 Qd6,O-O-O O-O,h3 Na5,Ba4 e6,d5 exd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,a3 Bd6,Bd3 O-O,O-O Ng4,Ne5 Nxe5,dxe5 Bxe5,Qh5 Qd4+,Kh1 h6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Bb5 Qd6,Be3 Bd7,O-O-O a6,Ba4 Nb4,Bb3 e6,Qxb7 Rd8,Bg5 Be7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Be3 e6,O-O-O Bb4,Bg5 Bxc3,Qxc3 h6,Bh4 O-O,d5 exd5,Bxf6 Qxf6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,h3 e6,Bg5 Be7,Bd3 Nbd7,O-O-O Qb6,Ne4 a5,Nxf6+ Nxf6,Ne2 a4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Nf3 Bxf3,Qxf3 e5,dxe5 Nxe5,Qd1 Qe7,Bb5+ Nfd7,O-O Qc5+
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nd5,Bc4 Nxc3,bxc3 e6,O-O Bd6,d5 e5,Bg5 f6,Nh4 O-O,Be3 Na6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,h3 h6,Be3 e6,O-O-O Bb4,Bf4 Bxc3,Qxc3 Nd5,Qf3 Nxf4,Qxf4 O-O
