move 1,move 2,move 3,move 4,move 5,move 6,move 7,move 8,move 9,move 10,move 11,move 12
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,d5 Nd4,Qd3 Nxc2+,Qxc2 Nxd5,Nf3 Nxc3,Qxc3 Be6,Bd3 Qd7,O-O O-O
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,Be3 Bg4,Qg3 Nh5,Qxg4 g6,O-O-O f5,Qf3 e6,Bc4 b5,Bxe6 b4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,d5 Ne5,Qe2 Qd6,Bf4 Nfd7,Nf3 Nxf3+,Qxf3 Qb4,O-O-O e5,Be3 Be7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bh5,g4 Bg6,Bf4 Nd5,Qd2 Nxf4,Qxf4 e6,O-O-O Bd6,Ne5 O-O
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qb4,O-O-O e6,Nb5 Bd6,a3 Qg4,Nxd6+ cxd6,Bb5+ Bd7,Qxb7 O-O
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bf4 Bd6,Be3 O-O,O-O-O Nc6,Bd3 a6,g4 e5,g5 Bg4,Qg3 Bxd1
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Bb5 Rb8,Qxa7 Qc8,Bf4 Rb7,Qa6 h6,Nf3 g5,Bg3 Kd8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Be3 e6,Be2 Bd6,Qd2 O-O,O-O-O Nbd7,Rhf1 c6,h3 Bxf3,Rxf3 Qc7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Nf3 Rb8,Qc6 Rb6,Qa4 Re6+,Be2 h6,O-O Ne4,d5 Nxc3
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Be3 Bg4,Qg3 Nxd4,Bxd4 Qxd4,Qxc7 Rd8,Bb5+ Nd7,Nge2 Qb6,Qxb6 axb6
