move 1,move 2,move 3,move 4,move 5,move 6,move 7,move 8,move 9,move 10,move 11,move 12
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 c6,Bd3 e6,O-O Be7,Bg5 h6,Bxf6 Bxf6,Kh1 Nd7,Qe1 O-O,Qg3 b5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Be7,O-O O-O,Qe1 c5,dxc5 Bxc5+,Kh1 Nc6,Bg5 Be7,Qh4 h6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Bd3 e6,O-O h6,Qe1 Bxf3,Rxf3 Nc6,Bb5 Bb4,a3 Bxc3,bxc3 O-O
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bh5,g4 Bg6,Ne5 e6,Bg2 c6,h4 Bb4,O-O Bxc3,bxc3 h5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,Be3 Bg4,Qf4 e6,h3 Bf5,O-O-O h6,g4 Bh7,h4 Bd6,Qf3 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 Nc6,Bb5 e6,Bxc6+ bxc6,Qxc6+ Nd7,O-O Bd6,Ne4 O-O
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Bd3 e6,O-O c6,Bg5 Bd6,Qe1 Nbd7,Rd1 Qc7,h3 Bh5,Bxf6 gxf6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 c5,Bg5 cxd4,Nxd4 Nbd7,Rf1 a6,Qe2 Be7,O-O-O O-O,Nf3 h6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bc4 Bd6,Bf4 Bxf4,Qxf4 Qd6,Qxd6 cxd6,Bb5+ Bd7,Bxd7+ Nbxd7,O-O-O O-O
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Bc4 e6,Be3 Bb4,a3 Bxc3+,bxc3 Ne4,Qd3 Bxf3,gxf3 Nf6,Bg5 Nbd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Nc6,Bg5 h6,Bh4 Be7,Qd2 Nxd4,Nxd4 Qxd4,Bb5+ c6,Bxc6+ bxc6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qb4,O-O-O e5,Nb5 Na6,c3 Qe7,Ne2 c6,Na3 Bg4,Qg3 b5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Bb5 e6,Bxd7+ Nxd7,Bf4 Bd6,Bxd6 cxd6,Nb5 O-O,Nxd6 Rb8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Be3 Bg4,Qf2 e6,Be2 Bxe2,Ngxe2 Ng4,Qf3 Nxe3,Qxe3 Qh4+,g3 Qd8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bf5,Be2 Nc6,O-O e6,Bc4 a6,d5 exd5,Nxd5 Nxd5,Bxd5 Bc5+,Kh1 Bd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nc6,Bg5 e6,Bd3 h6,Bh4 Be7,Qd2 Nxd4,Nxd4 Qxd4,Bb5+ Qd7,Bxd7+ Bxd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Bb5 e6,Bg5 Qc8,Bxd7+ Nxd7,Qc6 Bd6,Ne4 O-O,Nxd6 cxd6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,Be3 Bg4,Qg3 Qd7,h3 Bf5,O-O-O Ne4,Nxe4 Bxe4,Nf3 e6,Ne5 Qd8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Be2 Be7,O-O O-O,Bd3 Nc6,Ng5 h6,Nf3 Bb4,Bd2 Kh8,Ne4 Bxd2
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,d5 Bg4,Qf4 Nb8,Be3 h6,Nb5 Na6,Bc4 g5,Qd4 Bg7,Nf3 Rg8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 e6,Qxb7 Nbd7,Bb5 Bb4,a3 Bxc3+,bxc3 Rb8,Qc6 Rb6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Be2 e6,O-O Be7,Ng5 Bxe2,Qxe2 Nbd7,Nge4 Nxe4,Qxe4 Nf6,Qxb7 Qxd4+
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Bb4,Bg5 h6,Bh4 b6,Qe2 Bb7,O-O-O Bxc3,bxc3 Qd5,Kb1 Nbd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bf4 c6,Bd3 Bd6,Nh3 Bxf4,Nxf4 Qd6,O-O-O Nbd7,Rhf1 b5,d5 exd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bf5,Be2 e6,O-O c5,dxc5 Bxc5+,Kh1 Qxd1,Rxd1 O-O,Bg5 Nbd7,Nh4 Bg4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Be3 Nxd4,Bxd4 Qxd4,Nge2 Bg4,Qxb7 Rd8,Nxd4 Rxd4,Qxa7 Rd7,Bb5 c6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 h6,Be3 Nc6,h3 Be6,O-O-O Nd5,Nxd5 Qxd5,c4 Qxf3,Nxf3 Nd8,d5 Bf5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,a3 Be7,Ne4 Qxd4,Be3 Qxe4,Qxe4 Nxe4,Bd3 Nf6,Bg5 O-O,Nf3 Re8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bc4 Be7,Bg5 O-O,Qd2 Nc6,O-O-O h6,Bh4 a6,g4 b5,Bd3 Na7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Be3 e5,O-O-O exd4,Bxd4 Bb4,Bxf6 Qxf6,Qxf6 gxf6,Nd5 Be7,Nxc7+
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qg4,Qf2 e6,Be2 Qb4,O-O-O Nbd7,Nb5 Bd6,Rxd6 cxd6,Nc7+ Ke7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Bb4,O-O Nbd7,a3 Be7,Qe1 O-O,Bg5 Nd5,Qh4 Bxg5,Qxh7#
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Be2 e6,Bg5 Be7,Bxf6 Bxf6,h3 Bh5,O-O O-O,Ne5 Bxe2,Nxe2 Bh4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 Nc6,d5 Nb4,Bb5+ c6,dxc6 Nxc2+,Kf1 Nd4,c7+ Nd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Nh3 Nxd4,Qd1 Bf5,Bb5+ c6,Bd3 Bxd3,Qxd3 e6,Be3 Nf5,Qxd8+ Rxd8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bg5 Be7,Bd3 O-O,O-O Nd5,Bxe7 Qxe7,Nxd5 exd5,c3 Bg4,Qd2 Nd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bg5 Be7,Bd3 h6,Bf4 Nc6,a3 O-O,Qd2 Nd5,Bxh6 Bf6,Bg5 Bxg5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,d5 Nxd5,Nxd5 Ne5,Qe4 f6,Bf4 Nc6,O-O-O e5,Nxf6+ Qxf6,Bxe5 Nxe5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Bb5 Rb8,Bxd7+ Kxd7,Qxa7 e6,Bf4 Rc8,h3 Bf5,O-O-O Bb4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Be2 Bxf3,Bxf3 Nc6,Bxc6+ bxc6,O-O e6,Ne2 c5,c3 cxd4,Nxd4 Bc5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nc6,Bc4 e6,O-O Bb4,Bg5 h6,Bh4 g5,Bg3 O-O,d5 Bxc3,bxc3 exd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Bb5 Rb8,Bxd7+ Nxd7,Qxa7 Ra8,Qb7 e6,Qe4 f5,Qf4 Bd6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qd8,h3 h6,Bd3 g5,O-O-O Nc6,Bb5 Bd7,Bxc6 bxc6,Nge2 Bg7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Bb4,Bg5 O-O,Qd2 Nc6,O-O-O Kh8,a3 Bxc3,Qxc3 Nd5,Qc5 f6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qe5,O-O-O Bg4,Qxb7 Qxe3+,Rd2 Qe1+,Nd1 Qxf1,Qxa8 Qb5,Nc3 Qf1+
