move 1,move 2,move 3,move 4,move 5,move 6,move 7,move 8,move 9,move 10,move 11,move 12
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c5,d5 Bg4,Qg3 Nbd7,Bg5 h6,Bxf6 Nxf6,Nf3 Bxf3,Qxf3 a6,O-O-O b5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 g6,h3 Bg7,Be3 O-O,O-O-O c6,Bd3 Nbd7,g4 e6,g5 Nd5,Nxd5 cxd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Bb4,O-O O-O,Ne4 Nxe4,Bxe4 Nc6,c3 Bd6,Qe1 h6,Be3 f5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bc4 Be7,O-O O-O,Bg5 c6,Re1 b6,Qe2 a5,Bd3 b5,Ne4 Nxe4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 c6,Be3 Nbd7,Bd3 e6,O-O Bd6,Bg5 h6,Be3 Qc7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 Nc6,d5 Ne5,Qd1 a6,Bf4 Ng6,Bg3 c6,dxc6 Qxd1+
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Be3 Bg4,Qg3 Qd7,Nf3 Bxf3,gxf3 O-O,O-O-O e6,Bb5 Bb4,Bg5 Bxc3
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bf5,Bc4 e6,O-O Be7,Ne5 O-O,g4 Bg6,Be3 Nd5,Bd2 c5,Nxg6 hxg6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 e6,Qxb7 Nbd7,Bb5 Bb4,O-O Bxc3,bxc3 O-O,Ba3 Re8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bf5,Bd3 Bxd3,Qxd3 e6,Bg5 Be7,O-O-O O-O,h4 Nd5,Nxd5 Bxg5+,hxg5 g6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bg5 Be7,O-O-O O-O,Bxf6 Bxf6,Bd3 Nc6,Nge2 Nb4,Bxh7+ Kxh7,Ne4 g6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bg5 Be7,Qd2 h6,Bf4 O-O,Bd3 a6,Bxh6 gxh6,Qxh6 Nc6,O-O-O Re8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 c5,Be3 cxd4,Bxd4 Nc6,Bxf6 Qxf6,O-O Bc5+,Kh1 Qe7,Qe2 O-O
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nd5,Bc4 Nxc3,bxc3 Bg4,Bxf7+ Kxf7,Ne5+ Ke8,Qxg4 Qd5,Qc8+ Qd8,Qe6 Nc6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bg5 Be7,O-O-O O-O,Bd3 h6,h4 Nbd7,Nge2 Nb6,g4 Nbd5,Bxf6 Nxf6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,h3 Qxd4,Be3 Qd8,Bd3 h6,O-O-O Qa5,Nge2 Be6,Kb1 Nbd7,Nd4 Bd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bc4 Bb4,O-O Bxc3,bxc3 b6,Ba3 Bb7,Ne5 Nbd7,Bb5 c6,Bxc6 Bxc6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bd3 Qxd4,Be3 Qb4,O-O-O Be7,Nge2 O-O,g4 Nc6,g5 Nd5,Nxd5 exd5
