move 1,move 2,move 3,move 4,move 5,move 6,move 7,move 8,move 9,move 10,move 11,move 12
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bf4 Bd6,Bg5 Nbd7,O-O-O O-O,h4 h6,Be3 Rb8,g4 Qe8,g5 hxg5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bg5 Qxd4,Be3 Qb4,O-O-O a5,Nb5 Na6,Bf4 c6,Nd6+ Bxd6,Bxd6 Qa4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Nf3 Bxf3,gxf3 e6,Bf4 Bd6,Bxd6 cxd6,O-O-O d5,Bb5 Qb6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Bb4,Ne2 O-O,O-O-O Nc6,Bg5 Bxc3,Nxc3 Qe7,Bxf6 gxf6,Qg4+ Kh8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Be3 Bg4,Qf2 e6,Be2 Bf5,O-O-O Bb4,Qe1 Ne4,Bd2 Bxc3,Bxc3 O-O
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Nc6,O-O-O Bb4,Nge2 O-O,d5 exd5,Nxd5 Nxd5,Rxd5 Be6,Rxd8 Raxd8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bf4 Nc6,O-O-O Be7,g4 O-O,g5 Nd5,Nxd5 exd5,h4 Bd6,Nh3 Bxf4+
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 g6,Bc4 Bg7,O-O O-O,Bg5 Bg4,Be3 Nbd7,h3 Bxf3,Qxf3 e5,d5 Qe7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Be7,O-O-O O-O,Bd3 c6,Nh3 Nd5,Nxd5 cxd5,Qh5 g6,Qh6 Bf6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Nb5 Rc8,Bf4 e5,dxe5 Nh5,Bg3 Nxg3,hxg3 Bc5,Be2 Bxg1
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qf2 Nc6,Be3 e6,Be2 Bb4,Bxg4 Nxg4,Qd2 O-O,Nge2 Qf6,O-O-O Rad8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Bb4,Ne2 O-O,a3 Ba5,b4 Bb6,a4 a6,Ne4 Nc6,Nxf6+ Qxf6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 c6,Bd3 Bg4,O-O e6,Bg5 Be7,Qe1 Nbd7,Rd1 Bxf3,Rxf3 Qa5,Qh4 O-O
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c5,Be3 cxd4,O-O-O Bg4,Bb5+ Nc6,Bxc6+ bxc6,Qxc6+ Nd7,Nb5 Rc8,Qe4 Bxd1
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Bb5 Bd7,Be3 e6,d5 exd5,Nxd5 Nxd5,Qxd5 Nb4,Bxd7+ Qxd7,Qxb7 Nxc2+
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 h6,Bf4 Bg4,Qd3 c6,Nf3 e6,Be2 Nbd7,O-O Bb4,a3 Ba5,b4 Bb6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Be7,O-O-O O-O,Bd3 c6,Nh3 Nbd7,Nf4 Re8,g4 Nf8,g5 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Bb4,Ne2 Nd5,Bd2 O-O,a3 Bxc3,Nxc3 Nxc3,Qxc3 c6,O-O-O Nd7
