move 1,move 2,move 3,move 4,move 5,move 6,move 7,move 8,move 9,move 10,move 11,move 12
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bc4 Bd6,O-O O-O,Qe1 Nc6,Qh4 a6,Bg5 Be7,Qg3 Nd5,Bxe7 Ndxe7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Bc4 e6,O-O Nbd7,Bg5 Be7,Qe1 O-O,Qh4 Bxf3,Rxf3 h6,Bxh6 gxh6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Be3 e6,Be2 Bb4,Qd3 Bxf3,Bxf3 Nd5,O-O-O Nxe3,Qxe3 O-O,Bxb7 Nd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 g6,Bc4 Bg7,Ng5 e6,O-O Nc6,Be3 Na5,Be2 h6,Nf3 h5,Bg5 h4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bd7,Be3 Bc6,Qg3 g6,O-O-O Bg7,Bc4 O-O,d5 Bd7,Qh4 Bf5,Bh6 Nbd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qg4,O-O-O Qxf3,Nb5 Na6,Nxf3 c6,Nxa7 e6,Bxa6 Rxa7,Bxa7 bxa6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bg5 Be7,O-O-O Nd5,Bxe7 Nxe7,Qg3 Nf5,Qf4 O-O,Nf3 Nc6,g4 Nd6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bf4 Bd6,Be3 O-O,O-O-O h6,h4 Bb4,Qg3 Bxc3,Bxh6 Nh5,Qxc3 gxh6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Bb4,Ne2 Nd5,a3 Bxc3+,Nxc3 Nxc3,bxc3 O-O,Bc4 Nc6,O-O Na5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Bb4,Ne2 Nd5,a3 Bxc3+,Nxc3 b6,Nxd5 Qxd5,Qe2 Bb7,O-O-O Qa2
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nc6,Bd3 Bg4,O-O e6,Bg5 Bxf3,Qxf3 Nxd4,Qf2 Nf5,Kh1 Be7,Bxf5 exf5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Bd3 e6,O-O Nc6,Bg5 Nxd4,Bxf6 gxf6,Be4 Rg8,Qxd4 Qxd4+,Nxd4 Bc5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Bc4 e6,Bg5 c6,Bxf6 Qxf6,O-O Be7,h3 Bh5,Ne4 Qg6,Bd3 Qh6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Bd3 c6,O-O e6,Bg5 Be7,Qe1 O-O,Qh4 Bxf3,Bxf6 Bxf6,Qxh7#
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Bb4,Bf4 Bxc3+,Qxc3 O-O,O-O-O Ne4,Qe3 Nd6,Bd3 Nc6,Bxh7+ Kxh7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,d5 Nd4,Qd3 c5,Be3 Nxd5,Bxd4 Nxc3,Qxc3 cxd4,Qc4 Be6,Qb5+ Qd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Qxd4,Be2 Bxe2,Ngxe2 Qh4+,g3 Qh3,Qxa8 Ng4,Qxb8+ Kd7,Be3 Nxe3
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Bb4,Bg5 Nbd7,O-O Bxc3,bxc3 b6,Qe1 Bb7,Ne5 h6,Qh4 Qe7
