move 1,move 2,move 3,move 4,move 5,move 6,move 7,move 8,move 9,move 10,move 11,move 12
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Bb5 e6,Bg5 Rb8,Qxa7 Bb4,Bxf6 gxf6,Bxd7+ Kxd7,Qa4+ Ke7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,Bf4 Bg4,Qg3 g6,Nf3 Bxf3,gxf3 Bg7,O-O-O Nbd7,Ne4 Nxe4,fxe4 Nf6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qd8,Bd3 e6,O-O-O Bd6,Bf4 O-O,Bxd6 Qxd6,Bxh7+ Nxh7,Rxd6 cxd6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Be7,O-O b6,Bg5 Nbd7,Qe2 Bb7,Rad1 O-O,Ne5 c6,Kh1 Nxe5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bg5 Be7,Bd3 h6,Bf4 Nc6,a3 O-O,Qd2 a6,O-O-O Nxd4,Nxd4 Qxd4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bg5 Be7,Bd3 Bd7,O-O Nc6,a3 a6,Qe1 Bd6,Qh4 h6,Ne4 Be7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Be3 e6,O-O-O Bd7,d5 Nb4,dxe6 fxe6,Qxb7 Nc6,Bb5 Rb8,Qxc6 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Be6,Bg5 Qxd4,Be3 Qd8,Rd1 Nbd7,Qxb7 g6,Nb5 Nd5,Rxd5 Bxd5,Nxc7+ Qxc7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bg5 Be7,Bd3 O-O,O-O h6,Be3 Nc6,Qe2 Ng4,a3 Nxe3,Qxe3 Bd6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Bb5 Qxd4,Bxc6+ Kd8,Be3 Qe5,Bd7,Bxb7 Rb8,Bc6 e6,Bxa7 Rc8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nc6,Qxc6+ Nd7,Be3 e6,h3 Bf5,O-O-O Rb8,Nb5 Bd6,Nf3 Rb6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Be7,Be3 O-O,Qe2 b6,h4 Bb7,Ng5 h6,O-O-O Nbd7,Rdf1 e5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Bd6,Be3 b6,Qe2 Bb7,O-O-O a5,Bg5 Be7,h4 O-O,Bxf6 Bxf6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Be7,Be3 O-O,Qe2 Nc6,h4 Nd5,Nxd5 exd5,Bxh7+ Kxh7,Ng5+ Kg8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bh5,Bd3 e6,Bg5 Bb4,O-O Nc6,d5 Nd4,Bxf6 Qxf6,Bb5+ c6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Be7,O-O O-O,Qe1 Nc6,Bg5 h6,Be3 Ng4,Bd2 Nf6,h3 Nh7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Bd3 Bxf3,Qxf3 c6,O-O e6,h3 Bd6,Bg5 Nbd7,Rad1 h6,Bh4 Qc7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bh5,g4 Bg6,Ne5 Nbd7,Bf4 Nxe5,Bxe5 Nd7,Bg3 e6,Qf3 c6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bf5,Bc4 e6,Bg5 Nbd7,O-O h6,Bh4 g5,Bg3 Nh5,Be5 f6,Bg3 Nxg3
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bf5,Bf4 a6,Bc4 e6,O-O Nc6,Kh1 Nb4,Bb3 b5,Nh4 Qxd4,Qxd4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,d5 Nd4,Qd3 Nf5,Bg5 e6,O-O-O Be7,Qb5+ c6,dxc6 bxc6,Qxc6+ Bd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 Nc6,Be3 e6,Bb5 Qd6,O-O Be7,Rad1 O-O,a3 Nd8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Bd3 e6,O-O a6,Bg5 Be7,Qe1 Bxf3,Rxf3 O-O,Rd1 Nd5,Bxh7+ Kxh7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nc6,Bd3 Nd5,O-O Nxc3,bxc3 e6,Qe1 Be7,h3 O-O,Qe4 Bd7,Qxh7#
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Be7,O-O O-O,Qe1 b6,Bg5 Bb7,h3 Nbd7,Rd1 h6,Be3 Rc8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 e6,Be3 a6,Bd3 Nc6,a3 Nd5,Nxd5 Qxd5,Be4 Qb5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nc6,Bd3 e6,O-O Bb4,Bg5 O-O,Qe1 h6,Be3 Nd5,Bxh6 gxh6,Qg3+ Kh8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Be7,O-O O-O,Qe1 a6,Bg5 b5,a3 Bb7,Rd1 Nbd7,h3 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 g6,O-O Bg7,Qe1 O-O,Bg5 a6,Rd1 b5,Ne4 Bb7,Bxf6 Bxf6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 g6,O-O Be7,Qe1 O-O,Bh6 a6,Bxf8 Bxf8,Rd1 Bg7,Ne4 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qe5,h3 Nc6,O-O-O e6,Nb5 a6,Bf4 Qc5,Nxc7+ Ke7,Bd6+ Kd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 Nc6,Bb5 e6,Bxc6+ bxc6,Qxc6+ Nd7,d5 Bb4,O-O Bxc3
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bg5 Be7,Bd3 h6,Bh4 Nc6,O-O Nxd4,Nxd4 Qxd4+,Bf2 Qd8,Qf3 c6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 h6,h3 Qxd4,Be3 Qd8,Bd3 Nc6,O-O-O e6,Nge2 Bd6,Bf4 Bxf4+,Nxf4 O-O
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qg4,O-O-O Qxf3,Nxf3 a6,Bg5 c6,Bxf6 exf6,Bc4 Be7,h4 O-O
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nc6,Bb5 Bg4,O-O a6,Bxc6+ bxc6,h3 Bxf3,Rxf3 c5,Rf4 g5,Rf3 Qxd4+
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bh5,g4 Bg6,Ne5 e6,Bg2 c6,h4 h5,Nxg6 fxg6,g5 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bf5,Bc4 e6,O-O Bd6,Bg5 h6,Bh4 g5,Bg3 Bxg3,hxg3 Qd6,Ne5 Nc6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 Nc6,Be3 e6,Bb5 Qd6,O-O Be7,a4 O-O,Rad1 a6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Bb4,a3 Bxc3+,bxc3 O-O,O-O Nc6,Bg5 h6,Bh4 g5,Nxg5 hxg5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Bb4,Bd3 Bxc3+,bxc3 Nc6,Ne2 Nd5,O-O O-O,Qh5 Nxe3,Qxh7#
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Bb5 Rb8,Qxa7 e6,Bg5 Be7,Bxf6 Bxf6,Bxd7+ Kxd7,Nge2 Ke8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,h3 Nxd4,Qf2 e5,Be3 Bc5,O-O-O O-O,Bc4 Be6,Bb3 Bxb3,cxb3 Nd5
