move 1,move 2,move 3,move 4,move 5,move 6,move 7,move 8,move 9,move 10,move 11,move 12
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bd2 Bb4,O-O-O Nc6,Bb5 a6,Bxc6+ bxc6,Qxc6+ Bd7,Qc4 Bxc3,Bxc3 Ne4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qd7,Bd3 e6,O-O-O Bb4,Bb5 c6,Rxd7 Bxd7,Bc4 Bxc3,bxc3 O-O
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Qd6,Be3 Qe6,Bb5+ c6,Kd2 Bf5,Qxa8 Ne4+,Nxe4 Qxe4,Qxb8+ Kd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qf4 Nc6,Nb5 Rc8,h3 Bd7,Nf3 e6,Be3 a6,Nc3 Bb4,Bd2 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Be3 Bb4,Bd3 Bxc3+,bxc3 Bd7,O-O Nd5,Bd2 Qf6,Ne5 Qh4,Qf3 Nf6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,Be3 Bg4,Qf2 e6,Nf3 Bxf3,gxf3 g6,O-O-O Bg7,Bh3 O-O,Bg5 Nbd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qd8,Bd3 Nc6,O-O-O e5,Bxh7 Qe7,Bf5 g6,Bxc8 Rxc8,Nd5 Nxd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Be3 Bb4,Bd3 Nd5,Bd2 Nxc3,bxc3 Bd6,O-O O-O,Ne5 Bxe5,dxe5 Qh4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nc6,Bc4 Bg4,O-O Bxf3,Rxf3 Nxd4,Rf2 Nf3+,Qxf3 e6,Qxb7 Bc5,Qc6+ Nd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qg3 Nc6,Nf3 e6,Bf4 h6,O-O-O g5,Bxc7 Qd7,Ne5 Nxe5,dxe5 Bxd1
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Bf4 Nxd4,Qd3 Ne6,Qxd8+ Nxd8,Bxc7 Nc6,O-O-O Nd7,Bb5 Nb4,Nf3 g6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 c6,Be3 Nd5,Bd2 e6,Bd3 Bd6,O-O O-O,Qh5 g6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Bc4 e6,O-O c6,Bf4 Bd6,Qd2 Bxf4,Qxf4 Bxf3,Rxf3 Nbd7,Ne4 O-O
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Ne5 Nc6,Bb5 Bd6,Bxc6+ bxc6,Nxc6 Qd7,Qf3 O-O,Na5 Rb8,Nc4 Bb7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 c6,Be3 e6,Bd3 Be7,O-O Nbd7,Ne4 O-O,Qg3 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Be3 Be7,Bd3 O-O,O-O b6,Ne5 Bb7,Qe1 Nc6,Qg3 Kh8,Qh3 g6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bf4 Bb4,O-O-O Bxc3,Qxc3 Nd5,Qg3 O-O,Be5 f6,Bf4 c6,Bd3 Qa5
